SrNo,ScriptFullName,ScriptName,Type
1,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Intermix_StoreManager_OrderProcessingTest,Intermix_StoreManager_OrderProcessingTest,Order_Processing_Tests
2,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Intermix_StoreEmployee_OrderProcessingTest,Intermix_StoreEmployee_OrderProcessingTest,Order_Processing_Tests
3,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Intermix_StoreAssociate_OrderProcessingTest,Intermix_StoreAssociate_OrderProcessingTest,Order_Processing_Tests
4,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Modells_StoreManager_OrderProcessingTest,Modells_StoreManager_OrderProcessingTest,Order_Processing_Tests
5,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Modells_StoreEmployee_OrderProcessingTest,Modells_StoreEmployee_OrderProcessingTest,Order_Processing_Tests
6,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Modells_StoreAssociate_OrderProcessingTest,Modells_StoreAssociate_OrderProcessingTest,Order_Processing_Tests
7,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Roots_StoreManager_OrderProcessingTest,Roots_StoreManager_OrderProcessingTest,Order_Processing_Tests
8,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Roots_StoreEmployee_OrderProcessingTest,Roots_StoreEmployee_OrderProcessingTest,Order_Processing_Tests
9,com.kibo.qa.selenium.fulfillerTests.orderProcessingTests.Roots_StoreAssociate_OrderProcessingTest,Roots_StoreAssociate_OrderProcessingTest,Order_Processing_Tests
10,com.kibo.qa.selenium.fulfillerTests.orderFulfillmentTests.Intermix_OrderFulfillmentTest,Intermix_OrderFulfillmentTest,Order_Fulfillment_Tests
11,com.kibo.qa.selenium.fulfillerTests.orderFulfillmentTests.Modells_OrderFulfillmentTest,Modells_OrderFulfillmentTest,Order_Fulfillment_Tests
12,com.kibo.qa.selenium.fulfillerTests.orderFulfillmentTests.Roots_OrderFulfillmentTest,Roots_OrderFulfillmentTest,Order_Fulfillment_Tests
13,com.kibo.qa.selenium.fulfillerTests.orderInProcessTests.Intermix_OrderInProcessTest,Intermix_OrderInProcessTest,Order_In_Process_Tests
14,com.kibo.qa.selenium.fulfillerTests.orderInProcessTests.Modells_OrderInProcessTest,Modells_OrderInProcessTest,Order_In_Process_Tests
15,com.kibo.qa.selenium.fulfillerTests.orderInProcessTests.Roots_OrderInProcessTest,Roots_OrderInProcessTest,Order_In_Process_Tests
16,com.kibo.qa.selenium.fulfillerTests.fulfillerHomePageTests.Intermix_StoreManager_FulfillerHomePageTest,Intermix_StoreManager_FulfillerHomePageTest,Fulfiller_HomePageTests
17,com.kibo.qa.selenium.fulfillerTests.fulfillerHomePageTests.Intermix_StoreEmployee_FulfillerHomePageTest,Intermix_StoreEmployee_FulfillerHomePageTest,Fulfiller_HomePageTests
18,com.kibo.qa.selenium.fulfillerTests.fulfillerHomePageTests.Intermix_StoreAssociate_FulfillerHomePageTest,Intermix_StoreAssociate_FulfillerHomePageTest,Fulfiller_HomePageTests
19,com.kibo.qa.selenium.fulfillerTests.fulfillerHomePageTests.Modells_StoreManager_FulfillerHomeTest,Modells_StoreManager_FulfillerHomeTest,Fulfiller_HomePageTests
20,com.kibo.qa.selenium.fulfillerTests.fulfillerHomePageTests.Modells_StoreEmployee_FulfillerHomeTest,Modells_StoreEmployee_FulfillerHomeTest,Fulfiller_HomePageTests
21,com.kibo.qa.selenium.fulfillerTests.fulfillerHomePageTests.Modells_StoreAssociate_FulfillerHomeTest,Modells_StoreAssociate_FulfillerHomeTest,Fulfiller_HomePageTests
